timestamp,peak,type
2026-05-06 11:27:34.465475,-11264.125755986714,alpha
2026-05-06 11:27:35.126421,-535.7675664206201,beta
2026-05-06 11:27:35.126491,-1309.7234301328326,beta
2026-05-06 11:27:35.126929,-1173.0145336643268,beta
2026-05-06 11:27:35.126989,-2537.4836833776985,alpha
2026-05-06 11:27:35.211428,-658.7314856307542,beta
2026-05-06 11:27:35.211498,-707.2913494194951,beta
2026-05-06 11:27:35.211671,-811.9402375750745,beta
2026-05-06 11:27:35.211781,-410.5814966758794,beta
2026-05-06 11:27:35.211858,-1460.3639297987654,beta
2026-05-06 11:27:35.211915,-621.8997134867732,beta
2026-05-06 11:27:35.211980,-470.93400927057104,beta
2026-05-06 11:27:35.212031,-525.2185492683415,beta
2026-05-06 11:27:35.212074,-797.4813813696073,beta
2026-05-06 11:27:35.212166,-598.9037697675053,beta
2026-05-06 11:27:35.212221,-844.1143224730757,beta
2026-05-06 11:27:35.212332,-591.1434864768953,beta
2026-05-06 11:27:35.212390,-1148.4713668266263,beta
2026-05-06 11:27:35.212485,-698.7764876672381,beta
2026-05-06 11:27:35.212528,-562.1294330550073,beta
2026-05-06 11:27:35.212619,-473.9028574096946,beta
2026-05-06 11:27:35.212688,-542.6117574314254,beta
2026-05-06 11:27:35.212753,-1572.0032553097367,beta
2026-05-06 11:27:35.212822,-1516.2040531993616,beta
2026-05-06 11:27:35.212884,-402.99471544169967,beta
2026-05-06 11:27:35.212934,-633.8146292459439,beta
2026-05-06 11:27:35.212990,-965.7734986508935,beta
2026-05-06 11:27:35.296648,-546.0119368607873,beta
2026-05-06 11:27:35.296717,-1719.4397355358465,beta
2026-05-06 11:27:35.296768,-506.15201013399377,beta
2026-05-06 11:27:35.296880,-729.8325177793835,beta
2026-05-06 11:27:35.296937,-3130.623076108936,alpha
2026-05-06 11:27:35.297005,-2586.49606639254,alpha
2026-05-06 11:27:35.297064,-1799.382232218781,beta
2026-05-06 11:27:35.297122,-593.2632669053836,beta
2026-05-06 11:27:35.297181,-3033.5400267789923,alpha
2026-05-06 11:27:35.297235,-1243.4869076093141,beta
2026-05-06 11:27:35.297293,-1297.2270492307096,beta
2026-05-06 11:27:35.297346,-2431.1132216710757,beta
2026-05-06 11:27:35.297408,-454.51731373123664,beta
2026-05-06 11:27:35.297468,-1917.2829146209708,beta
2026-05-06 11:27:35.297522,-998.8834611068387,beta
2026-05-06 11:27:35.297578,-2807.0083507220406,alpha
2026-05-06 11:27:35.297650,-4331.819243660479,alpha
2026-05-06 11:27:35.297704,-1947.709729011361,beta
2026-05-06 11:27:35.297765,-3147.9473913037773,alpha
2026-05-06 11:27:35.297828,-1690.3236568587333,beta
2026-05-06 11:27:35.297886,-1250.1567806795808,beta
2026-05-06 11:27:35.297943,-651.3068334143186,beta
2026-05-06 11:27:35.298002,-2405.5848897013084,beta
2026-05-06 11:27:35.298067,-1043.411594714104,beta
2026-05-06 11:27:35.298125,-2121.678443186268,beta
2026-05-06 11:27:35.298187,-1639.435030723701,beta
2026-05-06 11:27:35.298250,-1504.3572736673636,beta
2026-05-06 11:27:35.298310,-770.909228783325,beta
2026-05-06 11:27:35.298372,-1586.243174566321,beta
2026-05-06 11:27:35.298432,-1615.7237076199456,beta
2026-05-06 11:27:35.298493,-1662.233848717213,beta
2026-05-06 11:27:35.298550,-1096.263481093769,beta
2026-05-06 11:27:35.298616,-1851.263749933105,beta
2026-05-06 11:27:35.298674,-1688.144968259762,beta
2026-05-06 11:27:35.298732,-2702.5405467919627,alpha
2026-05-06 11:27:35.298787,-1806.3735924744851,beta
2026-05-06 11:27:35.298862,-536.498684891059,beta
2026-05-06 11:27:35.298923,-2964.0628644118815,alpha
2026-05-06 11:27:35.298984,-715.4270209593213,beta
2026-05-06 11:27:35.382012,-1702.7918853457427,beta
2026-05-06 11:27:35.382078,-4566.985719791893,alpha
2026-05-06 11:27:35.382131,-2532.6534368128073,alpha
2026-05-06 11:27:35.382182,-2711.1801827447175,alpha
2026-05-06 11:27:35.382229,-1668.6424583023802,beta
2026-05-06 11:27:35.382283,-2020.6284116819788,beta
2026-05-06 11:27:35.382343,-3084.8762690684407,alpha
2026-05-06 11:27:35.382399,-5404.079646647643,alpha
2026-05-06 11:27:35.382446,-3211.6840570915037,alpha
2026-05-06 11:27:35.382508,-516.1536882082869,beta
2026-05-06 11:27:35.382560,-552.8671851059793,beta
2026-05-06 11:27:35.382616,-4306.93225537816,alpha
2026-05-06 11:27:35.382660,-2132.0740070526426,beta
2026-05-06 11:27:35.382720,-3584.8252697511657,alpha
2026-05-06 11:27:35.382770,-1411.6483839461825,beta
2026-05-06 11:27:35.382833,-3703.813395827852,alpha
2026-05-06 11:27:35.382885,-3371.1975923972345,alpha
2026-05-06 11:27:35.382940,-3383.387294231903,alpha
2026-05-06 11:27:35.382993,-2870.3160879173693,alpha
2026-05-06 11:27:35.383049,-1821.510725239647,beta
2026-05-06 11:27:35.383098,-3829.966128599527,alpha
2026-05-06 11:27:35.383153,-2540.792303856116,alpha
2026-05-06 11:27:35.383207,-3526.3932671195907,alpha
2026-05-06 11:27:35.383254,-1468.146737323324,beta
2026-05-06 11:27:35.383304,-2481.4512202924434,beta
2026-05-06 11:27:35.383361,-2410.0172538776737,beta
2026-05-06 11:27:35.383411,-2252.0526403007843,beta
2026-05-06 11:27:35.383466,-4985.012134794293,alpha
2026-05-06 11:27:35.383514,-2305.0271337782333,beta
2026-05-06 11:27:35.383565,-1737.996170550512,beta
2026-05-06 11:27:35.383623,-2938.971281010659,alpha
2026-05-06 11:27:35.383674,-1060.6006023540554,beta
2026-05-06 11:27:35.383724,-1531.9854331416122,beta
2026-05-06 11:27:35.383775,-1132.7333844457985,beta
2026-05-06 11:27:35.383859,-2770.3697557159003,alpha
2026-05-06 11:27:35.383911,-3530.9974614733846,alpha
2026-05-06 11:27:35.383960,-959.849911770697,beta
2026-05-06 11:27:35.467362,-3146.478289535559,alpha
2026-05-06 11:27:35.467428,-579.4522461856694,beta
2026-05-06 11:27:35.467479,-2119.5881593978534,beta
2026-05-06 11:27:35.467532,-943.4262250376541,beta
2026-05-06 11:27:35.467586,-4892.664283604061,alpha
2026-05-06 11:27:35.467641,-3621.1738869435285,alpha
2026-05-06 11:27:35.467697,-6218.51394876704,alpha
2026-05-06 11:27:35.467748,-4569.956991185997,alpha
2026-05-06 11:27:35.467813,-1427.2647983240176,beta
2026-05-06 11:27:35.467874,-3475.7233030832917,alpha
2026-05-06 11:27:35.467943,-3746.649943314765,alpha
2026-05-06 11:27:35.468005,-1351.361280980214,beta
2026-05-06 11:27:35.468059,-2237.5783889212494,beta
2026-05-06 11:27:35.468117,-1158.8179615815254,beta
2026-05-06 11:27:35.468185,-4799.183096626276,alpha
2026-05-06 11:27:35.468247,-1842.909627067596,beta
2026-05-06 11:27:35.468308,-2377.7277531731784,beta
2026-05-06 11:27:35.468367,-3574.34444171915,alpha
2026-05-06 11:27:35.468431,-2819.782961774132,alpha
2026-05-06 11:27:35.468495,-1402.4150691624016,beta
2026-05-06 11:27:35.468560,-2147.9896561104015,beta
2026-05-06 11:27:35.468624,-1784.2817072066766,beta
2026-05-06 11:27:35.468691,-4568.294982357955,alpha
2026-05-06 11:27:35.468750,-2688.4013348555713,alpha
2026-05-06 11:27:35.468821,-4469.036901437661,alpha
2026-05-06 11:27:35.468884,-2627.004879050548,alpha
2026-05-06 11:27:35.468943,-1697.1509364097135,beta
2026-05-06 11:27:35.468994,-3585.5732838160798,alpha
2026-05-06 11:27:35.469041,-845.0453360720176,beta
2026-05-06 11:27:35.469094,-903.1365649800039,beta
2026-05-06 11:27:35.469154,-1519.5724215970956,beta
2026-05-06 11:27:35.469216,-1531.0462898924,beta
2026-05-06 11:27:35.469278,-3389.1238112015435,alpha
2026-05-06 11:27:35.469335,-3462.2170257334083,alpha
2026-05-06 11:27:35.469388,-656.9303687083199,beta
2026-05-06 11:27:35.469439,-1919.1414477343142,beta
2026-05-06 11:27:35.469496,-2229.598664074374,beta
2026-05-06 11:27:35.469562,-2544.5662088792656,alpha
2026-05-06 11:27:35.552532,-3506.350918286795,alpha
2026-05-06 11:27:35.552595,-1112.5604097715536,beta
2026-05-06 11:27:35.552651,-1225.4513186998113,beta
2026-05-06 11:27:35.552700,-4344.66983402349,alpha
2026-05-06 11:27:35.552752,-2642.8535763890545,alpha
2026-05-06 11:27:35.552821,-2546.824568461227,alpha
2026-05-06 11:27:35.552873,-592.3612137200406,beta
2026-05-06 11:27:35.552945,-495.1795836899613,beta
2026-05-06 11:27:35.552994,-1970.163873816915,beta
2026-05-06 11:27:35.553041,-1622.8604690069722,beta
2026-05-06 11:27:35.553089,-1949.2694393825477,beta
2026-05-06 11:27:35.553146,-2630.559034760098,alpha
2026-05-06 11:27:35.553200,-3652.4865714829375,alpha
2026-05-06 11:27:35.553249,-737.8737498750236,beta
2026-05-06 11:27:35.553296,-1617.6059167914368,beta
2026-05-06 11:27:35.553346,-1069.300997779689,beta
2026-05-06 11:27:35.553393,-1230.8296782474345,beta
2026-05-06 11:27:35.553448,-2486.082931276368,beta
2026-05-06 11:27:35.553496,-819.455754858654,beta
2026-05-06 11:27:35.553544,-1670.4030884060899,beta
2026-05-06 11:27:35.553598,-882.7277521982616,beta
2026-05-06 11:27:35.553649,-1197.0391909652874,beta
2026-05-06 11:27:35.553700,-648.0033461393356,beta
2026-05-06 11:27:35.553748,-1137.2051723448299,beta
